create_time,start_time,cards,gpu_time,duration_time
5711,0,1,491,491
5714,0,1,605,605
5722,0,2,3730,1865
5733,0,1,434,434
5735,0,1,965,965
5739,0,2,2936,1468
5743,0,1,643,643
5745,0,1,499,499
5763,0,1,621,621
5796,0,1,219,219
5804,0,2,2608,1304
5810,0,1,956,956
5813,0,1,655,655
5820,0,1,253,253
5836,0,1,565,565
5836,0,2,2818,1409
5865,0,2,3382,1691
5888,0,2,3380,1690
5897,0,2,3744,1872
5910,0,2,2706,1353
5917,0,8,62272,8457
5923,0,1,593,593
5923,0,4,9028,2257
5925,0,1,251,251
5929,0,4,12916,3229
5952,0,4,8376,2094
5964,0,1,314,314
5966,0,1,186,186
5969,0,1,184,184
5988,0,1,760,760
5998,0,1,507,507
5999,0,1,248,248
6001,0,4,16200,4050
6003,0,2,2546,1273
6010,0,8,77776,9436
6019,0,1,997,997
6026,0,2,2214,1107
6044,0,1,615,615
6049,0,1,902,902
6049,0,1,399,399
6051,0,4,10308,2577
6071,0,1,991,991
6072,0,1,273,273
6081,0,1,517,517
6083,0,1,274,274
6087,0,1,622,622
6123,0,1,633,633
6136,0,2,3708,1854
6145,0,4,14720,3680
6166,0,1,141,141
6169,0,2,2922,1461
6169,0,4,12996,3249
6199,0,2,3182,1591
6207,0,1,812,812
6225,0,1,777,777
6226,0,1,177,177
6236,0,1,258,258
6239,0,2,2864,1432
6248,0,2,2364,1182
6272,0,1,890,890
6275,0,8,56576,7899
6325,0,2,3808,1904
6328,0,1,583,583
6334,0,1,374,374
6347,0,1,659,659
6347,0,1,926,926
6356,0,2,3330,1665
6358,0,2,3956,1978
6369,0,2,3930,1965
6393,0,4,10200,2550
6394,0,1,675,675
6406,0,2,2062,1031
6413,0,1,939,939
6423,0,2,2516,1258
6427,0,2,3628,1814
6429,0,2,2534,1267
6432,0,2,3488,1744
6434,0,1,834,834
6481,0,1,750,750
6501,0,2,2284,1142
6504,0,1,185,185
6506,0,1,982,982
6507,0,1,569,569
6507,0,2,3618,1809
6517,0,1,363,363
6520,0,1,140,140
6520,0,2,3568,1784
6549,0,1,337,337
6550,0,1,614,614
6551,0,4,16288,4072
6559,0,1,324,324
6566,0,1,960,960
6581,0,4,10172,2543
6583,0,1,372,372
6585,0,1,771,771
6591,0,1,922,922
6600,0,1,623,623
6601,0,1,905,905
6605,0,2,2540,1270
6609,0,2,2692,1346
6613,0,1,800,800
6618,0,2,2082,1041
6628,0,4,15328,3832
6632,0,1,456,456
6635,0,1,229,229
6665,0,1,814,814
6668,0,1,822,822
6669,0,2,2476,1238
6676,0,1,823,823
6697,0,1,860,860
6718,0,2,2912,1456
6731,0,2,2558,1279
6736,0,2,3048,1524
6743,0,1,220,220
6753,0,1,702,702
6758,0,2,3504,1752
6782,0,1,775,775
6790,0,2,3480,1740
6794,0,2,3868,1934
6798,0,8,57600,9809
6802,0,2,2930,1465
6805,0,1,483,483
6806,0,2,2116,1058
6815,0,8,79672,8396
6817,0,1,686,686
6818,0,1,631,631
6841,0,1,949,949
6861,0,1,187,187
6861,0,1,131,131
6879,0,1,519,519
6881,0,1,594,594
6886,0,4,16292,4073
6894,0,2,3044,1522
6901,0,2,2272,1136
6915,0,2,3812,1906
6916,0,2,3036,1518
6930,0,1,261,261
6949,0,2,3644,1822
6972,0,2,2458,1229
6992,0,2,3070,1535
7016,0,1,404,404
7046,0,1,149,149
7053,0,4,13576,3394
7075,0,1,121,121
7097,0,1,946,946
7137,0,1,897,897
7140,0,1,984,984
7142,0,4,15996,3999
7144,0,2,3354,1677
7153,0,2,3480,1740
7167,0,1,368,368
7169,0,8,62656,8419
7188,0,1,435,435
7223,0,4,16328,4082
7233,0,2,2292,1146
7234,0,1,760,760
7238,0,2,2142,1071
7241,0,2,2552,1276
7245,0,1,414,414
7252,0,1,120,120
7256,0,2,3012,1506
7273,0,1,605,605
7281,0,1,966,966
7282,0,8,64112,8402
7285,0,8,56856,7948
7293,0,1,127,127
7294,0,2,2918,1459
7303,0,1,397,397
7320,0,8,68640,9805
7325,0,1,828,828
7350,0,4,15156,3789
7353,0,1,341,341
7364,0,1,657,657
7367,0,2,2602,1301
7376,0,1,184,184
7381,0,4,8252,2063
7383,0,1,820,820
7389,0,1,794,794
7392,0,4,14056,3514
7401,0,8,74544,7656
7408,0,1,103,103
7420,0,2,2046,1023
7424,0,1,624,624
7425,0,4,8168,2042
7428,0,4,17980,4495
7431,0,1,148,148
7448,0,4,18564,4641
7481,0,1,768,768
7486,0,1,777,777
7519,0,1,328,328
7568,0,2,2088,1044
7578,0,4,18300,4575
7585,0,1,725,725
7609,0,1,461,461
7616,0,1,788,788
7633,0,1,349,349
7633,0,1,904,904
7633,0,1,680,680
7636,0,2,3758,1879
7642,0,2,3552,1776
7648,0,1,869,869
7653,0,2,2596,1298
7657,0,1,829,829
7662,0,4,12276,3069
7676,0,1,594,594
7682,0,1,725,725
7713,0,1,835,835
7716,0,1,997,997
7729,0,4,15068,3767
7764,0,1,241,241
7764,0,2,3530,1765
7769,0,1,696,696
7782,0,1,394,394
7787,0,1,871,871
7787,0,2,3780,1890
7803,0,4,15020,3755
7804,0,1,569,569
7809,0,2,2772,1386
7812,0,1,133,133
7814,0,1,517,517
7814,0,2,3486,1743
7815,0,1,904,904
7819,0,1,755,755
7821,0,2,3938,1969
7822,0,4,15364,3841
7847,0,4,13176,3294
7872,0,4,13056,3264
7885,0,1,448,448
7914,0,1,597,597
7926,0,1,111,111
7936,0,2,3450,1725
7938,0,1,713,713
7943,0,1,302,302
7946,0,2,3616,1808
7947,0,2,3236,1618
7955,0,2,2116,1058
7957,0,2,2900,1450
7957,0,2,3026,1513
7972,0,1,206,206
7973,0,1,673,673
7986,0,2,2238,1119
7986,0,4,11828,2957
7988,0,1,908,908
7991,0,8,63664,8580
8003,0,2,2278,1139
8020,0,1,137,137
8023,0,1,102,102
8025,0,8,78184,7972
8049,0,1,981,981
8074,0,1,636,636
8074,0,8,58432,9399
8087,0,2,2824,1412
8110,0,2,2274,1137
8119,0,1,503,503
8138,0,1,591,591
8142,0,1,495,495
8144,0,2,3974,1987
8147,0,1,549,549
8160,0,1,820,820
8169,0,2,2054,1027
8177,0,1,851,851
8183,0,4,11832,2958
8192,0,2,2068,1034
8193,0,1,392,392
8201,0,1,589,589
8230,0,4,12844,3211
8235,0,1,983,983
8249,0,1,678,678
8250,0,2,3916,1958
8254,0,1,814,814
8263,0,4,9120,2280
8267,0,2,3632,1816
8267,0,2,2368,1184
8289,0,2,3808,1904
8292,0,1,259,259
8301,0,1,923,923
8303,0,1,251,251
8306,0,1,954,954
8311,0,4,15368,3842
8311,0,4,17156,4289
8313,0,1,281,281
8333,0,1,388,388
8335,0,2,2368,1184
8340,0,1,932,932
8369,0,4,9000,2250
8381,0,1,365,365
8392,0,1,253,253
8393,0,1,483,483
8396,0,8,57136,8846
8412,0,2,2606,1303
8444,0,4,19840,4960
8448,0,2,3706,1853
8450,0,1,706,706
8466,0,1,438,438
8470,0,1,982,982
8476,0,2,2890,1445
8480,0,2,3032,1516
8485,0,1,270,270
8489,0,2,3248,1624
8490,0,2,3584,1792
8494,0,1,831,831
8495,0,1,435,435
8521,0,2,3534,1767
8549,0,2,3094,1547
8553,0,8,75312,9839
8557,0,1,634,634
8557,0,2,3756,1878
8563,0,1,759,759
8584,0,2,2136,1068
8595,0,2,3278,1639
8598,0,1,284,284
8612,0,2,2090,1045
8622,0,1,858,858
8638,0,8,75544,7679
8640,0,2,2232,1116
8657,0,1,989,989
8675,0,4,9532,2383
8683,0,2,3928,1964
8702,0,2,3936,1968
8705,0,1,551,551
8737,0,1,239,239
8761,0,8,72432,9870
8771,0,2,2352,1176
8797,0,1,690,690
8804,0,1,101,101
8816,0,2,3898,1949
8825,0,2,3584,1792
8841,0,1,556,556
8842,0,2,3354,1677
8849,0,1,198,198
8853,0,1,268,268
8873,0,1,795,795
8874,0,1,728,728
8875,0,2,3122,1561
8894,0,2,3362,1681
8894,0,8,72376,8422
8897,0,1,190,190
8899,0,1,941,941
8909,0,2,3900,1950
8933,0,4,17156,4289
8936,0,1,632,632
8940,0,1,851,851
8949,0,1,402,402
8957,0,1,219,219
8961,0,1,634,634
8966,0,2,2116,1058
8988,0,1,966,966
8992,0,4,15836,3959
9001,0,4,19552,4888
9002,0,1,930,930
9004,0,2,2706,1353
9010,0,2,2978,1489
9022,0,1,692,692
9022,0,2,2868,1434
9023,0,4,10948,2737
9036,0,2,2744,1372
9051,0,1,412,412
9071,0,4,10116,2529
9104,0,2,2188,1094
9108,0,2,2868,1434
9117,0,1,353,353
9121,0,2,2030,1015
9126,0,2,2570,1285
9139,0,1,104,104
9142,0,2,2170,1085
9150,0,1,795,795
9157,0,2,3044,1522
9158,0,2,2928,1464
9158,0,2,3892,1946
9210,0,1,632,632
9222,0,2,3868,1934
9243,0,4,13360,3340
9255,0,1,447,447
9277,0,1,105,105
9287,0,1,189,189
9296,0,2,3022,1511
9299,0,1,201,201
9323,0,4,19500,4875
9336,0,2,2816,1408
9349,0,1,250,250
9359,0,1,512,512
9360,0,1,933,933
9361,0,2,2256,1128
9381,0,1,139,139
9382,0,2,2912,1456
9390,0,4,9048,2262
9393,0,1,936,936
9410,0,1,272,272
9410,0,2,3990,1995
9414,0,2,2884,1442
9430,0,2,2650,1325
9432,0,8,79392,9528
9440,0,4,16176,4044
9473,0,4,13112,3278
9485,0,4,11048,2762
9493,0,4,9580,2395
9496,0,2,2010,1005
9504,0,2,3700,1850
9524,0,1,951,951
9552,0,2,3686,1843
9562,0,1,878,878
9575,0,1,906,906
9585,0,2,3620,1810
9589,0,2,3462,1731
9590,0,2,3206,1603
9604,0,1,181,181
9609,0,2,2264,1132
9615,0,4,13188,3297
9617,0,1,662,662
9624,0,2,3686,1843
9644,0,1,111,111
9653,0,2,3240,1620
9659,0,1,735,735
9661,0,2,3060,1530
9688,0,1,539,539
9692,0,1,288,288
9709,0,1,736,736
9709,0,1,304,304
9717,0,4,9104,2276
9721,0,1,116,116
9748,0,1,692,692
9750,0,1,238,238
9756,0,4,11892,2973
9757,0,1,855,855
9778,0,1,906,906
9783,0,1,439,439
9789,0,2,2212,1106
9799,0,1,304,304
9804,0,4,15524,3881
9809,0,1,170,170
9814,0,4,12664,3166
9826,0,1,416,416
9831,0,1,294,294
9842,0,1,950,950
9849,0,2,2466,1233
9865,0,4,14700,3675
9896,0,2,2148,1074
9899,0,2,3204,1602
9908,0,1,230,230
9908,0,8,67344,9568
9911,0,2,3040,1520
9915,0,1,673,673
9918,0,1,113,113
9922,0,1,481,481
9931,0,2,2342,1171
9936,0,4,12092,3023
9945,0,1,639,639
9946,0,2,3626,1813
9955,0,1,614,614
9961,0,2,3596,1798
9981,0,1,396,396
9986,0,4,18656,4664
9994,0,1,124,124
9995,0,1,220,220
9996,0,2,3664,1832
