create_time,start_time,cards,gpu_time,duration_time,migration_cost,pre_queue_time
1291,0,1,838,838,208,0
1295,0,1,402,402,124,0
1304,0,2,2872,1436,797,0
1306,0,2,3874,1937,1682,0
1308,0,2,3914,1957,1501,0
1319,0,4,14536,3634,969,0
1335,0,2,2654,1327,298,0
1344,0,8,69728,8458,5004,0
1348,0,8,78736,9219,3103,0
1352,0,8,69952,9953,6441,0
1354,0,1,950,950,660,0
1370,0,1,174,174,156,0
1377,0,2,2160,1080,566,0
1378,0,1,627,627,382,0
1380,0,2,2414,1207,279,0
1386,0,2,2622,1311,907,0
1396,0,1,505,505,195,0
1398,0,2,3118,1559,790,0
1399,0,1,616,616,201,0
1400,0,1,203,203,59,0
1401,0,2,3662,1831,232,0
1402,0,2,3772,1886,1344,0
1410,0,1,862,862,358,0
1435,0,4,14788,3697,1289,0
1444,0,4,15620,3905,2469,0
1447,0,2,2710,1355,304,0
1449,0,2,3382,1691,982,0
1470,0,2,3102,1551,718,0
1471,0,2,3968,1984,829,0
1473,0,1,629,629,554,0
1475,0,1,958,958,247,0
1475,0,1,724,724,493,0
1480,0,2,2900,1450,403,0
1488,0,2,2082,1041,917,0
1498,0,1,817,817,219,0
1505,0,2,2010,1005,614,0
1512,0,1,515,515,272,0
1514,0,2,3706,1853,1656,0
1520,0,1,498,498,87,0
1522,0,1,979,979,611,0
1528,0,4,18404,4601,2543,0
1535,0,1,494,494,221,0
1550,0,4,19840,4960,2514,0
1581,0,1,745,745,665,0
1594,0,2,3954,1977,406,0
1595,0,1,361,361,141,0
1604,0,2,2252,1126,799,0
1606,0,1,982,982,164,0
1611,0,1,941,941,147,0
1615,0,1,749,749,359,0
1616,0,4,14500,3625,3178,0
1635,0,2,2000,1000,167,0
1655,0,4,18692,4673,1062,0
1656,0,2,3498,1749,541,0
1666,0,2,3844,1922,197,0
1683,0,2,2554,1277,353,0
1700,0,2,3216,1608,733,0
1709,0,1,776,776,662,0
1715,0,2,2568,1284,376,0
1715,0,4,13196,3299,1543,0
1717,0,2,3482,1741,366,0
1717,0,4,15412,3853,1714,0
1756,0,1,935,935,831,0
1760,0,8,79224,7413,2570,0
1774,0,1,549,549,383,0
1783,0,1,290,290,108,0
1783,0,2,3670,1835,1491,0
1790,0,2,2612,1306,216,0
1800,0,2,3538,1769,1412,0
1805,0,4,8372,2093,1787,0
1815,0,8,75176,9100,3056,0
1821,0,1,932,932,142,0
1839,0,1,379,379,199,0
1840,0,2,3182,1591,496,0
1844,0,2,2640,1320,196,0
1855,0,1,149,149,47,0
1856,0,8,73080,8846,1815,0
1860,0,1,458,458,358,0
1883,0,1,885,885,229,0
1903,0,2,2898,1449,453,0
1917,0,1,834,834,516,0
1925,0,1,415,415,75,0
1928,0,2,3170,1585,1068,0
1942,0,2,2172,1086,150,0
1967,0,1,469,469,222,0
1967,0,2,2454,1227,625,0
1968,0,1,954,954,458,0
1980,0,2,3898,1949,568,0
1980,0,2,2862,1431,600,0
1988,0,1,993,993,294,0
2013,0,2,2152,1076,203,0
2016,0,8,67368,7679,895,0
2017,0,8,60936,7086,4763,0
2018,0,1,316,316,54,0
2024,0,8,75200,8199,3520,0
2046,0,4,14212,3553,2855,0
2064,0,1,681,681,550,0
2068,0,1,329,329,161,0
2080,0,2,3306,1653,232,0
2113,0,1,185,185,72,0
2123,0,1,600,600,507,0
2140,0,1,908,908,705,0
2142,0,2,3902,1951,562,0
2148,0,2,2146,1073,310,0
2150,0,1,445,445,375,0
2160,0,4,19156,4789,2667,0
2165,0,1,469,469,341,0
2188,0,2,3882,1941,1009,0
2201,0,1,616,616,154,0
2205,0,1,806,806,568,0
2211,0,1,521,521,397,0
2216,0,2,3544,1772,1333,0
2232,0,2,2100,1050,343,0
2234,0,1,236,236,134,0
2240,0,2,2844,1422,1220,0
2251,0,8,69368,8054,2086,0
2262,0,1,263,263,136,0
2264,0,2,3508,1754,194,0
2274,0,1,560,560,276,0
2288,0,8,73472,8093,5505,0
2293,0,1,135,135,43,0
2309,0,1,747,747,95,0
2319,0,2,2530,1265,931,0
2337,0,2,3098,1549,1261,0
2340,0,2,3920,1960,1181,0
2348,0,2,2924,1462,194,0
2348,0,8,77120,7280,6169,0
2360,0,1,181,181,18,0
2368,0,1,982,982,704,0
2381,0,2,3446,1723,1184,0
2391,0,2,3338,1669,1356,0
2391,0,8,65512,8733,4676,0
2397,0,8,70536,7552,2768,0
2400,0,2,2806,1403,629,0
2404,0,2,2042,1021,568,0
2413,0,4,14440,3610,1515,0
2422,0,2,2488,1244,678,0
2443,0,1,939,939,227,0
2449,0,1,326,326,286,0
2475,0,1,481,481,128,0
2477,0,1,295,295,213,0
2482,0,4,16000,4000,1333,0
2494,0,1,866,866,695,0
2521,0,2,3848,1924,1490,0
2551,0,1,173,173,130,0
2553,0,4,12888,3222,576,0
2576,0,2,2438,1219,860,0
2577,0,2,2012,1006,540,0
2584,0,1,235,235,194,0
2593,0,1,238,238,55,0
2603,0,2,3408,1704,446,0
2605,0,1,474,474,61,0
2643,0,1,923,923,751,0
2643,0,1,325,325,288,0
2651,0,2,3584,1792,628,0
2653,0,2,2830,1415,250,0
2655,0,2,2210,1105,711,0
2674,0,2,2712,1356,525,0
2686,0,1,369,369,54,0
2688,0,2,2100,1050,390,0
2699,0,1,523,523,359,0
2711,0,1,320,320,187,0
2722,0,2,2552,1276,195,0
2741,0,1,833,833,466,0
2741,0,1,313,313,259,0
2745,0,1,115,115,46,0
2748,0,2,2472,1236,342,0
2751,0,1,890,890,168,0
2753,0,1,195,195,77,0
2809,0,1,503,503,200,0
2814,0,1,528,528,130,0
2817,0,1,154,154,98,0
2823,0,2,3586,1793,619,0
2840,0,1,811,811,466,0
2843,0,8,72520,7336,2316,0
2849,0,1,643,643,313,0
2853,0,1,159,159,71,0
2857,0,2,3476,1738,576,0
2858,0,4,19752,4938,2528,0
2875,0,4,18892,4723,848,0
2883,0,1,480,480,317,0
2890,0,1,882,882,294,0
2912,0,1,777,777,234,0
2915,0,4,18440,4610,3673,0
2923,0,2,3434,1717,487,0
2933,0,4,9468,2367,1248,0
2946,0,4,11592,2898,2606,0
2948,0,2,3636,1818,1595,0
2950,0,4,14320,3580,1034,0
2962,0,8,57248,9642,1002,0
2969,0,1,527,527,180,0
2975,0,1,450,450,401,0
2975,0,1,341,341,239,0
2975,0,2,3618,1809,513,0
2976,0,2,2970,1485,511,0
2983,0,1,415,415,179,0
2991,0,2,2444,1222,709,0
3002,0,8,67520,8544,4286,0
3004,0,1,194,194,130,0
3005,0,1,383,383,211,0
3011,0,2,2562,1281,589,0
3014,0,1,969,969,386,0
3018,0,2,2390,1195,212,0
3021,0,2,3994,1997,1276,0
3024,0,1,587,587,355,0
3025,0,2,2988,1494,1024,0
3030,0,1,415,415,154,0
3036,0,1,926,926,186,0
3038,0,8,63032,9948,7328,0
3039,0,4,16548,4137,2406,0
3040,0,1,655,655,553,0
3047,0,2,3944,1972,935,0
3061,0,2,2368,1184,1010,0
3070,0,1,873,873,229,0
3073,0,1,871,871,737,0
3075,0,1,698,698,341,0
3080,0,1,828,828,650,0
3086,0,1,634,634,203,0
3097,0,4,8840,2210,363,0
3101,0,1,187,187,101,0
3104,0,1,865,865,149,0
3113,0,2,2890,1445,239,0
3113,0,8,74800,9422,6438,0
3131,0,2,3928,1964,444,0
3135,0,2,2080,1040,496,0
3145,0,2,2950,1475,179,0
3151,0,4,16236,4059,2796,0
3155,0,1,905,905,689,0
3174,0,1,249,249,158,0
3188,0,1,472,472,388,0
3191,0,2,2492,1246,259,0
3208,0,1,869,869,594,0
3215,0,2,3150,1575,1364,0
3240,0,1,150,150,135,0
3244,0,2,3160,1580,1299,0
3254,0,2,2020,1010,788,0
3271,0,1,794,794,91,0
3281,0,2,2670,1335,1135,0
3292,0,1,132,132,114,0
3310,0,1,664,664,402,0
3311,0,2,3870,1935,830,0
3314,0,1,366,366,282,0
3314,0,1,620,620,310,0
3314,0,1,891,891,731,0
3326,0,2,2064,1032,681,0
3335,0,2,2550,1275,1091,0
3336,0,1,225,225,152,0
3338,0,1,115,115,41,0
3343,0,4,13056,3264,2436,0
3357,0,1,208,208,41,0
3376,0,8,77592,7164,3737,0
3396,0,1,146,146,48,0
3399,0,8,66832,9279,7796,0
3414,0,2,2838,1419,185,0
3417,0,1,246,246,61,0
3434,0,8,66544,9039,1449,0
3447,0,2,2682,1341,1169,0
3486,0,2,2872,1436,377,0
3515,0,4,17356,4339,1003,0
3517,0,4,15500,3875,1570,0
3524,0,1,471,471,292,0
3527,0,2,2118,1059,942,0
3534,0,2,3284,1642,171,0
3544,0,1,320,320,124,0
3551,0,1,144,144,39,0
3563,0,2,3324,1662,1397,0
3566,0,1,739,739,300,0
3568,0,2,3294,1647,920,0
3584,0,2,3346,1673,869,0
3598,0,2,2134,1067,875,0
3602,0,2,2096,1048,521,0
3619,0,1,991,991,584,0
3644,0,1,416,416,336,0
3654,0,2,2472,1236,433,0
3654,0,4,16232,4058,3380,0
3656,0,1,926,926,680,0
3656,0,2,2566,1283,892,0
3665,0,1,118,118,37,0
3676,0,1,154,154,130,0
3677,0,2,3762,1881,932,0
3678,0,1,564,564,399,0
3685,0,2,2882,1441,725,0
3689,0,2,2762,1381,1089,0
3705,0,1,145,145,81,0
3708,0,1,590,590,134,0
3711,0,1,755,755,119,0
3731,0,2,2752,1376,517,0
3735,0,1,754,754,331,0
3754,0,2,2812,1406,192,0
3756,0,1,466,466,328,0
3760,0,1,350,350,253,0
3760,0,8,59192,8492,2949,0
3765,0,4,18752,4688,2415,0
3802,0,4,18564,4641,2473,0
3803,0,1,686,686,118,0
3809,0,1,770,770,380,0
3822,0,2,3680,1840,1075,0
3827,0,2,3482,1741,1334,0
3840,0,1,154,154,82,0
3851,0,1,563,563,417,0
3856,0,2,3898,1949,1736,0
3864,0,8,67984,8708,6516,0
3867,0,1,222,222,166,0
3879,0,1,272,272,144,0
3881,0,4,13176,3294,2226,0
3890,0,1,504,504,347,0
3890,0,2,2410,1205,940,0
3898,0,2,3960,1980,1771,0
3902,0,2,3494,1747,826,0
3915,0,2,3622,1811,852,0
3919,0,1,976,976,434,0
3928,0,2,3480,1740,327,0
3935,0,1,800,800,107,0
3940,0,1,995,995,258,0
3952,0,1,247,247,199,0
3965,0,1,994,994,507,0
3978,0,8,63320,9569,7831,0
3979,0,1,296,296,197,0
3991,0,8,59008,8908,2097,0
3997,0,2,2906,1453,353,0
4003,0,1,346,346,256,0
4003,0,4,8680,2170,954,0
4004,0,1,964,964,702,0
4012,0,8,72992,7930,1426,0
4016,0,4,15216,3804,475,0
4032,0,1,289,289,258,0
4037,0,2,3074,1537,509,0
4040,0,2,2486,1243,372,0
4054,0,4,18864,4716,2880,0
4059,0,1,969,969,775,0
4072,0,1,661,661,356,0
4083,0,1,710,710,288,0
4087,0,2,3896,1948,637,0
4102,0,1,158,158,53,0
4104,0,1,689,689,88,0
4124,0,2,3104,1552,175,0
4125,0,8,64184,8282,5040,0
4161,0,2,3600,1800,1508,0
4164,0,1,406,406,77,0
4172,0,1,233,233,137,0
4174,0,2,3220,1610,430,0
4181,0,4,9864,2466,1563,0
4185,0,1,538,538,191,0
4204,0,1,121,121,23,0
4209,0,1,270,270,133,0
4209,0,2,2698,1349,1211,0
4218,0,1,498,498,228,0
4226,0,1,111,111,36,0
4230,0,1,456,456,46,0
4238,0,4,14080,3520,541,0
4257,0,2,2744,1372,696,0
4260,0,2,2076,1038,589,0
4263,0,2,2042,1021,537,0
4267,0,2,3692,1846,275,0
4279,0,1,326,326,233,0
4281,0,2,3028,1514,1144,0
4300,0,2,2454,1227,611,0
4306,0,2,3930,1965,1673,0
4320,0,2,3904,1952,1314,0
4320,0,4,19468,4867,540,0
4324,0,2,3174,1587,470,0
4326,0,2,2690,1345,347,0
4329,0,1,423,423,103,0
4345,0,1,152,152,114,0
4347,0,2,2086,1043,398,0
4376,0,2,3106,1553,1282,0
4388,0,1,750,750,426,0
4405,0,1,153,153,73,0
4409,0,1,331,331,163,0
4417,0,1,647,647,540,0
4422,0,4,14976,3744,1490,0
4424,0,1,775,775,360,0
4430,0,1,360,360,154,0
4440,0,2,2634,1317,372,0
4442,0,1,766,766,459,0
4455,0,1,962,962,559,0
4466,0,2,2104,1052,234,0
4473,0,2,2360,1180,964,0
4475,0,2,2178,1089,776,0
4510,0,4,12864,3216,2611,0
4533,0,2,3210,1605,1277,0
4541,0,1,849,849,751,0
4541,0,1,321,321,69,0
4545,0,1,103,103,16,0
4546,0,2,2532,1266,127,0
4547,0,2,2162,1081,800,0
4556,0,1,836,836,664,0
4608,0,1,429,429,127,0
4629,0,1,332,332,99,0
4633,0,1,915,915,608,0
4635,0,1,394,394,161,0
4643,0,1,719,719,159,0
4647,0,1,944,944,248,0
4651,0,1,173,173,155,0
4658,0,1,273,273,51,0
4662,0,1,904,904,535,0
4696,0,1,996,996,157,0
4707,0,1,897,897,762,0
4743,0,1,699,699,401,0
4745,0,2,2788,1394,483,0
4768,0,1,406,406,250,0
4782,0,1,433,433,270,0
4792,0,4,18432,4608,1131,0
4797,0,1,207,207,126,0
4801,0,2,3170,1585,838,0
4803,0,1,578,578,427,0
4804,0,1,164,164,28,0
4811,0,1,586,586,119,0
4813,0,2,2968,1484,704,0
4816,0,1,510,510,238,0
4821,0,4,9852,2463,918,0
4831,0,1,214,214,78,0
4832,0,2,3912,1956,801,0
4834,0,1,690,690,292,0
4835,0,1,711,711,495,0
4843,0,2,2272,1136,789,0
4849,0,1,157,157,122,0
4869,0,1,439,439,180,0
4874,0,2,2206,1103,655,0
4881,0,1,130,130,64,0
4885,0,1,362,362,263,0
4886,0,2,3578,1789,1174,0
4895,0,2,2452,1226,123,0
4902,0,4,15456,3864,3275,0
4908,0,1,825,825,594,0
4908,0,2,2792,1396,391,0
4930,0,1,935,935,414,0
4936,0,1,872,872,484,0
4936,0,1,919,919,346,0
4946,0,1,466,466,311,0
4946,0,1,746,746,630,0
4949,0,2,3530,1765,544,0
4973,0,1,390,390,230,0
4985,0,2,2632,1316,472,0
4989,0,2,2558,1279,857,0
5015,0,1,563,563,485,0
5022,0,2,2308,1154,940,0
5035,0,4,12432,3108,1853,0
5036,0,2,3986,1993,634,0
5044,0,1,919,919,670,0
5052,0,2,3796,1898,819,0
5062,0,2,2684,1342,319,0
5065,0,2,3728,1864,370,0
5072,0,1,594,594,159,0
5082,0,1,275,275,104,0
5083,0,8,70368,7597,6714,0
5100,0,1,738,738,149,0
5110,0,2,2854,1427,837,0
5122,0,1,435,435,109,0
5136,0,1,525,525,114,0
5138,0,1,142,142,115,0
5211,0,2,2870,1435,451,0
5224,0,4,13404,3351,2697,0
5226,0,2,3054,1527,1097,0
5228,0,2,2602,1301,446,0
5235,0,1,654,654,117,0
5274,0,1,116,116,26,0
5276,0,1,719,719,208,0
5320,0,2,2642,1321,1005,0
5323,0,2,3648,1824,1347,0
5359,0,1,475,475,322,0
5362,0,2,2724,1362,1201,0
5368,0,2,3418,1709,1080,0
5368,0,4,19492,4873,1355,0
5376,0,1,608,608,384,0
5377,0,2,2794,1397,788,0
5383,0,2,2228,1114,235,0
5410,0,1,746,746,662,0
5410,0,2,2586,1293,840,0
5422,0,2,2552,1276,534,0
5444,0,1,593,593,91,0
5446,0,1,425,425,368,0
5449,0,2,3084,1542,288,0
5454,0,1,862,862,406,0
5457,0,2,3728,1864,805,0
5463,0,2,3918,1959,913,0
5486,0,1,502,502,277,0
5486,0,2,2398,1199,609,0
5500,0,1,776,776,129,0
5501,0,2,2894,1447,380,0
5502,0,1,607,607,228,0
5512,0,1,701,701,103,0
5515,0,2,2212,1106,875,0
5531,0,2,3238,1619,1348,0
5535,0,1,769,769,529,0
5538,0,2,3788,1894,1189,0
5543,0,1,817,817,586,0
5549,0,1,403,403,217,0
5551,0,1,714,714,151,0
5575,0,1,601,601,480,0
5575,0,2,3146,1573,369,0
5584,0,1,598,598,418,0
5603,0,2,3492,1746,1420,0
5633,0,2,3448,1724,1159,0
5650,0,1,896,896,769,0
5654,0,2,3954,1977,1490,0
5657,0,2,3104,1552,237,0
5659,0,1,530,530,66,0
5667,0,2,3920,1960,682,0
5692,0,1,991,991,622,0
5709,0,1,828,828,181,0
5709,0,4,8832,2208,649,0
5711,0,1,914,914,789,0
5711,0,1,491,491,408,0
5714,0,1,605,605,363,0
5722,0,2,3730,1865,939,0
5733,0,1,434,434,301,0
5735,0,1,965,965,737,0
5739,0,2,2936,1468,556,0
5743,0,1,643,643,138,0
5745,0,1,499,499,311,0
5763,0,1,621,621,469,0
5796,0,1,219,219,78,0
5804,0,2,2608,1304,167,0
5810,0,1,956,956,755,0
5813,0,1,655,655,557,0
5820,0,1,253,253,157,0
5836,0,1,565,565,256,0
5836,0,2,2818,1409,776,0
5865,0,2,3382,1691,535,0
5888,0,2,3380,1690,1127,0
5897,0,2,3744,1872,1486,0
5910,0,2,2706,1353,963,0
5917,0,8,62272,8457,6850,0
5923,0,1,593,593,461,0
5923,0,4,9028,2257,1800,0
5925,0,1,251,251,106,0
5929,0,4,12916,3229,1747,0
5952,0,4,8376,2094,1240,0
5964,0,1,314,314,225,0
5966,0,1,186,186,77,0
5969,0,1,184,184,146,0
5988,0,1,760,760,529,0
5998,0,1,507,507,318,0
5999,0,1,248,248,157,0
6001,0,4,16200,4050,2134,0
6003,0,2,2546,1273,922,0
6010,0,8,77776,9436,6135,0
6019,0,1,997,997,391,0
6026,0,2,2214,1107,378,0
6044,0,1,615,615,368,0
6049,0,1,902,902,177,0
6049,0,1,399,399,78,0
6051,0,4,10308,2577,453,0
6071,0,1,991,991,770,0
6072,0,1,273,273,207,0
6081,0,1,517,517,177,0
6083,0,1,274,274,242,0
6087,0,1,622,622,215,0
6123,0,1,633,633,551,0
6136,0,2,3708,1854,648,0
6145,0,4,14720,3680,784,0
6166,0,1,141,141,62,0
6169,0,2,2922,1461,307,0
6169,0,4,12996,3249,1050,0
6199,0,2,3182,1591,877,0
6207,0,1,812,812,223,0
6225,0,1,777,777,138,0
6226,0,1,177,177,148,0
6236,0,1,258,258,184,0
6239,0,2,2864,1432,754,0
6248,0,2,2364,1182,641,0
6272,0,1,890,890,371,0
6275,0,8,56576,7899,3742,0
6325,0,2,3808,1904,361,0
6328,0,1,583,583,464,0
6334,0,1,374,374,174,0
6347,0,1,659,659,211,0
6347,0,1,926,926,631,0
6356,0,2,3330,1665,604,0
6358,0,2,3956,1978,1755,0
6369,0,2,3930,1965,381,0
6393,0,4,10200,2550,1130,0
6394,0,1,675,675,452,0
6406,0,2,2062,1031,254,0
6413,0,1,939,939,402,0
6423,0,2,2516,1258,449,0
6427,0,2,3628,1814,904,0
6429,0,2,2534,1267,204,0
6432,0,2,3488,1744,939,0
6434,0,1,834,834,614,0
6481,0,1,750,750,227,0
6501,0,2,2284,1142,366,0
6504,0,1,185,185,52,0
6506,0,1,982,982,408,0
6507,0,1,569,569,395,0
6507,0,2,3618,1809,300,0
6517,0,1,363,363,181,0
6520,0,1,140,140,98,0
6520,0,2,3568,1784,1172,0
6549,0,1,337,337,294,0
6550,0,1,614,614,470,0
6551,0,4,16288,4072,1282,0
6559,0,1,324,324,45,0
6566,0,1,960,960,441,0
6581,0,4,10172,2543,1561,0
6583,0,1,372,372,278,0
6585,0,1,771,771,615,0
6591,0,1,922,922,430,0
6600,0,1,623,623,154,0
6601,0,1,905,905,781,0
6605,0,2,2540,1270,504,0
6609,0,2,2692,1346,904,0
6613,0,1,800,800,621,0
6618,0,2,2082,1041,591,0
6628,0,4,15328,3832,2659,0
6632,0,1,456,456,226,0
6635,0,1,229,229,37,0
6665,0,1,814,814,98,0
6668,0,1,822,822,578,0
6669,0,2,2476,1238,642,0
6676,0,1,823,823,414,0
6697,0,1,860,860,132,0
6718,0,2,2912,1456,873,0
6731,0,2,2558,1279,456,0
6736,0,2,3048,1524,665,0
6743,0,1,220,220,143,0
6753,0,1,702,702,620,0
6758,0,2,3504,1752,1321,0
6782,0,1,775,775,314,0
6790,0,2,3480,1740,239,0
6794,0,2,3868,1934,745,0
6798,0,8,57600,9809,5038,0
6802,0,2,2930,1465,1313,0
6805,0,1,483,483,207,0
6806,0,2,2116,1058,364,0
6815,0,8,79672,8396,4852,0
6817,0,1,686,686,281,0
6818,0,1,631,631,187,0
6841,0,1,949,949,854,0
6861,0,1,187,187,84,0
6861,0,1,131,131,43,0
6879,0,1,519,519,252,0
6881,0,1,594,594,65,0
6886,0,4,16292,4073,1555,0
6894,0,2,3044,1522,720,0
6901,0,2,2272,1136,375,0
6915,0,2,3812,1906,925,0
6916,0,2,3036,1518,1209,0
6930,0,1,261,261,127,0
6949,0,2,3644,1822,972,0
6972,0,2,2458,1229,653,0
6992,0,2,3070,1535,269,0
7016,0,1,404,404,148,0
7046,0,1,149,149,109,0
7053,0,4,13576,3394,2088,0
7075,0,1,121,121,16,0
7097,0,1,946,946,577,0
7137,0,1,897,897,726,0
7140,0,1,984,984,118,0
7142,0,4,15996,3999,2268,0
7144,0,2,3354,1677,979,0
7153,0,2,3480,1740,917,0
7167,0,1,368,368,98,0
7169,0,8,62656,8419,7104,0
7188,0,1,435,435,255,0
7223,0,4,16328,4082,1086,0
7233,0,2,2292,1146,975,0
7234,0,1,760,760,93,0
7238,0,2,2142,1071,272,0
7241,0,2,2552,1276,273,0
7245,0,1,414,414,225,0
7252,0,1,120,120,76,0
7256,0,2,3012,1506,1049,0
7273,0,1,605,605,170,0
7281,0,1,966,966,105,0
7282,0,8,64112,8402,969,0
7285,0,8,56856,7948,2867,0
7293,0,1,127,127,98,0
7294,0,2,2918,1459,466,0
7303,0,1,397,397,66,0
7320,0,8,68640,9805,3925,0
7325,0,1,828,828,274,0
7350,0,4,15156,3789,987,0
7353,0,1,341,341,170,0
7364,0,1,657,657,121,0
7367,0,2,2602,1301,1004,0
7376,0,1,184,184,46,0
7381,0,4,8252,2063,1138,0
7383,0,1,820,820,175,0
7389,0,1,794,794,146,0
7392,0,4,14056,3514,440,0
7401,0,8,74544,7656,3628,0
7408,0,1,103,103,15,0
7420,0,2,2046,1023,365,0
7424,0,1,624,624,333,0
7425,0,4,8168,2042,589,0
7428,0,4,17980,4495,1491,0
7431,0,1,148,148,56,0
7448,0,4,18564,4641,2947,0
7481,0,1,768,768,258,0
7486,0,1,777,777,328,0
7519,0,1,328,328,221,0
7568,0,2,2088,1044,913,0
7578,0,4,18300,4575,2441,0
7585,0,1,725,725,589,0
7609,0,1,461,461,307,0
7616,0,1,788,788,416,0
7633,0,1,349,349,168,0
7633,0,1,904,904,795,0
7633,0,1,680,680,410,0
7636,0,2,3758,1879,478,0
7642,0,2,3552,1776,1492,0
7648,0,1,869,869,290,0
7653,0,2,2596,1298,294,0
7657,0,1,829,829,191,0
7662,0,4,12276,3069,2522,0
7676,0,1,594,594,284,0
7682,0,1,725,725,208,0
7713,0,1,835,835,414,0
7716,0,1,997,997,546,0
7729,0,4,15068,3767,580,0
7764,0,1,241,241,98,0
7764,0,2,3530,1765,687,0
7769,0,1,696,696,612,0
7782,0,1,394,394,256,0
7787,0,1,871,871,191,0
7787,0,2,3780,1890,1562,0
7803,0,4,15020,3755,1326,0
7804,0,1,569,569,181,0
7809,0,2,2772,1386,155,0
7812,0,1,133,133,52,0
7814,0,1,517,517,344,0
7814,0,2,3486,1743,1224,0
7815,0,1,904,904,764,0
7819,0,1,755,755,658,0
7821,0,2,3938,1969,1755,0
7822,0,4,15364,3841,3101,0
7847,0,4,13176,3294,2026,0
7872,0,4,13056,3264,2774,0
7885,0,1,448,448,80,0
7914,0,1,597,597,401,0
7926,0,1,111,111,94,0
7936,0,2,3450,1725,1242,0
7938,0,1,713,713,136,0
7943,0,1,302,302,30,0
7946,0,2,3616,1808,1161,0
7947,0,2,3236,1618,242,0
7955,0,2,2116,1058,637,0
7957,0,2,2900,1450,906,0
